package	x86_selection	action	target	reason
kmod-drm-kms-helper	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-suballoc-helper	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-ttm	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-drm-ttm-helper	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-dsa	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-dsa-b53	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-dsa-b53-mdio	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-dummy	y	migrate	kmod-dummy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-dwmac-intel	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-e1000	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-e1000e	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ebtables	y	migrate	kmod-ebtables	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ebtables-ipv4	y	migrate	kmod-ebtables-ipv4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ebtables-ipv6	y	migrate	kmod-ebtables-ipv6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fb	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fb-cfb-copyarea	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fb-cfb-fillrect	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fb-cfb-imgblt	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fb-sys-fops	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fb-sys-ram	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fixed-phy	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-forcedeth	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-fs-autofs4	y	migrate	kmod-fs-autofs4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-btrfs	y	migrate	kmod-fs-btrfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-cifs	y	migrate	kmod-fs-cifs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-configfs	y	migrate	kmod-fs-configfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-exfat	y	migrate	kmod-fs-exfat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-exportfs	y	migrate	kmod-fs-exportfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-ext4	y	migrate	kmod-fs-ext4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-f2fs	y	migrate	kmod-fs-f2fs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-msdos	y	migrate	kmod-fs-msdos	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-netfs	y	migrate	kmod-fs-netfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfs	y	migrate	kmod-fs-nfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfs-common	y	migrate	kmod-fs-nfs-common	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfs-common-rpcsec	y	migrate	kmod-fs-nfs-common-rpcsec	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfs-v3	y	migrate	kmod-fs-nfs-v3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfs-v4	y	migrate	kmod-fs-nfs-v4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-nfsd	y	migrate	kmod-fs-nfsd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-ntfs	y	migrate	kmod-fs-ntfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-ntfs3	y	migrate	kmod-fs-ntfs3	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-reiserfs	y	migrate	kmod-fs-reiserfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-smbfs-common	y	migrate	kmod-fs-smbfs-common	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-squashfs	y	migrate	kmod-fs-squashfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fs-vfat	y	migrate	kmod-fs-vfat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-fuse	y	migrate	kmod-fuse	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-hid	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-hid-generic	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-hwmon-core	y	migrate	kmod-hwmon-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-i2c-algo-bit	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-i2c-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-i40e	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-iavf	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ice	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ifb	y	migrate	kmod-ifb	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-igb	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-igbvf	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-igc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-inet-diag	y	migrate	kmod-inet-diag	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-input-core	y	migrate-modem-driver	kmod-input-core	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-input-evdev	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ip6-tunnel	y	migrate	kmod-ip6-tunnel	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ip6tables	y	migrate	kmod-ip6tables	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ip6tables-extra	y	migrate	kmod-ip6tables-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-compat-xtables	y	migrate	kmod-ipt-compat-xtables	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-conntrack	y	migrate	kmod-ipt-conntrack	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-conntrack-extra	y	migrate	kmod-ipt-conntrack-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-core	y	migrate	kmod-ipt-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-extra	y	migrate	kmod-ipt-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-filter	y	migrate	kmod-ipt-filter	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-fullconenat	y	migrate	kmod-ipt-fullconenat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-geoip	y	migrate	kmod-ipt-geoip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-ipmark	y	migrate	kmod-ipt-ipmark	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-ipopt	y	migrate	kmod-ipt-ipopt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-ipset	y	migrate	kmod-ipt-ipset	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-nat	y	migrate	kmod-ipt-nat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-nat-extra	y	migrate	kmod-ipt-nat-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-nat6	y	migrate	kmod-ipt-nat6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-nfqueue	y	migrate	kmod-ipt-nfqueue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-offload	y	exclude		本机卸载控制使用私有 MTK HNAT，不增加 legacy FLOWOFFLOAD 路径
kmod-ipt-proto	y	migrate	kmod-ipt-proto	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-raw	y	migrate	kmod-ipt-raw	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipt-tproxy	y	migrate	kmod-ipt-tproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-iptunnel	y	migrate	kmod-iptunnel	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-iptunnel4	y	migrate	kmod-iptunnel4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-iptunnel6	y	migrate	kmod-iptunnel6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ipvlan	y	migrate	kmod-ipvlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ixgbe	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ixgbevf	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-keys-encrypted	y	migrate	kmod-keys-encrypted	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-keys-trusted	y	migrate	kmod-keys-trusted	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-cordic	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-lib-crc-ccitt	y	migrate	kmod-lib-crc-ccitt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-crc16	y	migrate	kmod-lib-crc16	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-crc32c	y	migrate	kmod-lib-crc32c	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-crc8	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-lib-lzo	y	migrate	kmod-lib-lzo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-objagg	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-lib-parman	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-lib-raid6	y	migrate	kmod-lib-raid6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-textsearch	y	migrate	kmod-lib-textsearch	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-xor	y	migrate	kmod-lib-xor	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-xxhash	y	migrate	kmod-lib-xxhash	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-zlib-deflate	y	migrate	kmod-lib-zlib-deflate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-zlib-inflate	y	migrate	kmod-lib-zlib-inflate	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-lib-zstd	y	migrate	kmod-lib-zstd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-libphy	y	migrate	kmod-libphy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-mac80211	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-macremapper	y	migrate	kmod-macremapper	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-macvlan	y	migrate	kmod-macvlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-linear	y	migrate	kmod-md-linear	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-mod	y	migrate	kmod-md-mod	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-raid0	y	migrate	kmod-md-raid0	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-raid1	y	migrate	kmod-md-raid1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-raid10	y	migrate	kmod-md-raid10	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-md-raid456	y	migrate	kmod-md-raid456	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-mdio	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mdio-devres	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mhi-bus	y	migrate-modem-driver	kmod-mhi-bus	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-mhi-net	y	migrate-modem-driver	kmod-mhi-net	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-mhi-pci-generic	y	migrate-modem-driver	kmod-mhi-pci-generic	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-mhi-wwan-ctrl	y	migrate-modem-driver	kmod-mhi-wwan-ctrl	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-mhi-wwan-mbim	y	migrate-modem-driver	kmod-mhi-wwan-mbim	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-mii	y	migrate	kmod-mii	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-mlx4-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlx5-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxfw	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxsw-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxsw-i2c	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxsw-minimal	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxsw-pci	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mlxsw-spectrum	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mmc	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-mppe	y	migrate	kmod-mppe	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-mtk-t7xx	y	migrate-modem-driver	kmod-mtk-t7xx	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-net-selftests	y	migrate	kmod-net-selftests	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-netem	y	migrate	kmod-netem	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-netlink-diag	y	migrate	kmod-netlink-diag	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-conncount	y	migrate	kmod-nf-conncount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-conntrack	y	migrate	kmod-nf-conntrack	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-conntrack-netlink	y	migrate	kmod-nf-conntrack-netlink	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-conntrack6	y	migrate	kmod-nf-conntrack6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-flow	y	migrate	kmod-nf-flow	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-ipt	y	migrate	kmod-nf-ipt	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-ipt6	y	migrate	kmod-nf-ipt6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-log	y	migrate	kmod-nf-log	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-log6	y	migrate	kmod-nf-log6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-nat	y	migrate	kmod-nf-nat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-nat6	y	migrate	kmod-nf-nat6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-nathelper	y	migrate	kmod-nf-nathelper	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-nathelper-extra	y	migrate	kmod-nf-nathelper-extra	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-reject	y	migrate	kmod-nf-reject	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-reject6	y	migrate	kmod-nf-reject6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-socket	y	migrate	kmod-nf-socket	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nf-tproxy	y	migrate	kmod-nf-tproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nfnetlink	y	migrate	kmod-nfnetlink	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nfnetlink-queue	y	migrate	kmod-nfnetlink-queue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-bridge	y	migrate	kmod-nft-bridge	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-compat	y	migrate	kmod-nft-compat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-core	y	migrate	kmod-nft-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-fib	y	migrate	kmod-nft-fib	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-fullcone	y	exclude		用户同意不移植；使用目标 Full Cone/HNAT 配套
kmod-nft-nat	y	migrate	kmod-nft-nat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-netdev	y	migrate	kmod-nft-netdev	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-offload	y	migrate	kmod-nft-offload	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-queue	y	migrate	kmod-nft-queue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-socket	y	migrate	kmod-nft-socket	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nft-tproxy	y	migrate	kmod-nft-tproxy	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-base	y	migrate	kmod-nls-base	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-cp437	y	migrate	kmod-nls-cp437	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-cp932	y	migrate	kmod-nls-cp932	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-cp936	y	migrate	kmod-nls-cp936	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-cp950	y	migrate	kmod-nls-cp950	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-iso8859-1	y	migrate	kmod-nls-iso8859-1	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-ucs2-utils	y	migrate	kmod-nls-ucs2-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-nls-utf8	y	migrate	kmod-nls-utf8	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-oid-registry	y	migrate	kmod-oid-registry	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-pcie_mhi	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
kmod-pcnet32	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-pcs-xpcs	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-ax88796b	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-broadcom	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-marvell	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-marvell-10g	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-microchip	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phy-realtek	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phylib-broadcom	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-phylink	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ppp	y	migrate	kmod-ppp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-pppoe	y	migrate	kmod-pppoe	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-pppox	y	migrate	kmod-pppox	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-pps	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-ptp	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-qrtr	y	migrate-modem-driver	kmod-qrtr	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-qrtr-mhi	y	migrate-modem-driver	kmod-qrtr-mhi	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-r8101	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-r8125	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-r8126	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-r8168	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-r8169	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-random-core	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
kmod-regmap-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-sched	y	migrate	kmod-sched	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-act-sample	y	migrate	kmod-sched-act-sample	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-act-vlan	y	migrate	kmod-sched-act-vlan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-bpf	y	migrate	kmod-sched-bpf	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-cake	y	migrate	kmod-sched-cake	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-connmark	y	migrate	kmod-sched-connmark	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-core	y	migrate	kmod-sched-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-ctinfo	y	migrate	kmod-sched-ctinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-flower	y	migrate	kmod-sched-flower	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-fq-pie	y	migrate	kmod-sched-fq-pie	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-ipset	y	migrate	kmod-sched-ipset	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-pie	y	migrate	kmod-sched-pie	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sched-red	y	migrate	kmod-sched-red	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-scsi-core	y	migrate	kmod-scsi-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-sfp	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-sit	y	migrate	kmod-sit	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-slhc	y	migrate	kmod-slhc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-ssb	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-stmmac-core	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-tcp-bbr	y	migrate	kmod-tcp-bbr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-tg3	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-tls	y	migrate	kmod-tls	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-tpm	y	dependency-only		仅允许目标软件依赖解析器按需选择的通用基础组件
kmod-tulip	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-tun	y	migrate	kmod-tun	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-udptunnel4	y	migrate	kmod-udptunnel4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-udptunnel6	y	migrate	kmod-udptunnel6	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-acm	y	migrate	kmod-usb-acm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-core	y	migrate	kmod-usb-core	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-ehci	y	migrate	kmod-usb-ehci	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-hid	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
kmod-usb-net	y	migrate	kmod-usb-net	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-aqc111	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-asix	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-asix-ax88179	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-cdc-eem	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-cdc-ether	y	migrate	kmod-usb-net-cdc-ether	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-cdc-mbim	y	migrate	kmod-usb-net-cdc-mbim	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-cdc-ncm	y	migrate	kmod-usb-net-cdc-ncm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-cdc-subset	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-dm9601-ether	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-hso	y	migrate-modem-driver	kmod-usb-net-hso	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-usb-net-huawei-cdc-ncm	y	migrate	kmod-usb-net-huawei-cdc-ncm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-ipheth	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-kalmia	y	migrate-modem-driver	kmod-usb-net-kalmia	按最新要求补齐经 R3 Mini 总线、MM 协议和内核核对的蜂窝模块驱动
kmod-usb-net-kaweth	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-lan78xx	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-mcs7830	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-pegasus	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-pl	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-qmi-wwan	y	migrate	kmod-usb-net-qmi-wwan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-qmi-wwan-fibocom	y	exclude		避免覆盖/抢占现有通用 QMI 驱动
kmod-usb-net-qmi-wwan-quectel	y	exclude		避免覆盖/抢占现有通用 QMI 驱动
kmod-usb-net-rndis	y	migrate	kmod-usb-net-rndis	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-net-rtl8150	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-rtl8152	y	exclude		不复制 x86 为外接网卡选的额外驱动；本机 MM 驱动已保留
kmod-usb-net-sierrawireless	y	migrate	kmod-usb-net-sierrawireless	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-printer	y	migrate	kmod-usb-printer	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-serial	y	migrate	kmod-usb-serial	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-serial-option	y	migrate	kmod-usb-serial-option	迁移功能；使用目标源码和依赖，服务默认状态单独适配
kmod-usb-serial-qualcomm	y	migrate	kmod-usb-serial-qualcomm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
