package	x86_selection	r3_selection	triage	note	x86_version	r3_version	r3_makefile	depends	provides	conflicts	build_depends
kmod-crypto-md5	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-null	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-rng	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash +kmod-crypto-hmac +kmod-crypto-sha512 +kmod-crypto-sha3			
kmod-crypto-seqiv	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-aead +kmod-crypto-rng +kmod-crypto-geniv			
kmod-crypto-sha1	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-sha256	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-sha3	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-sha512	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash			
kmod-crypto-user	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash +kmod-crypto-manager +kmod-crypto-rng			
kmod-crypto-xxhash	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash +kmod-lib-xxhash			
kmod-dax	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-dm	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-manager +kmod-dax +KERNEL_KEYS:kmod-keys-encrypted			
kmod-dma-buf	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-dnsresolver	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-drm	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-dma-buf +kmod-i2c-core +PACKAGE_kmod-backlight:kmod-backlight +kmod-fb			
kmod-drm-amdgpu	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@TARGET_x86||TARGET_loongarch64 @DISPLAY_SUPPORT +kmod-backlight +kmod-drm-ttm +kmod-drm-ttm-helper +kmod-drm-kms-helper +kmod-i2c-algo-bit +amdgpu-firmware +kmod-drm-display-helper +kmod-drm-buddy +kmod-acpi-video +kmod-drm-exec +kmod-drm-suballoc-helper			
kmod-drm-buddy	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm			
kmod-drm-display-helper	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm-kms-helper			
kmod-drm-exec	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm			
kmod-drm-i915	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@(TARGET_x86_64||TARGET_x86_generic||TARGET_x86_legacy) @DISPLAY_SUPPORT +kmod-backlight +kmod-drm-ttm +kmod-drm-ttm-helper +kmod-drm-kms-helper +kmod-i2c-algo-bit +i915-firmware-dmc +kmod-drm-display-helper +kmod-drm-buddy +kmod-acpi-video +kmod-drm-exec +kmod-drm-suballoc-helper			
kmod-drm-kms-helper	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm +kmod-fb +kmod-fb-sys-fops +kmod-fb-cfb-copyarea +kmod-fb-cfb-fillrect +kmod-fb-cfb-imgblt +kmod-fb-sys-ram			
kmod-drm-suballoc-helper	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm			
kmod-drm-ttm	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm			
kmod-drm-ttm-helper	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT +kmod-drm-ttm			
kmod-dsa	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-mdio-devres +kmod-net-selftests +kmod-phylink			
kmod-dsa-b53	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-dsa			
kmod-dsa-b53-mdio	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-dsa-b53			
kmod-dummy	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-dwmac-intel	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@TARGET_x86_64 +kmod-stmmac-core			
kmod-e1000	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT			
kmod-e1000e	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCIE_SUPPORT +kmod-ptp			
kmod-ebtables	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core			
kmod-ebtables-ipv4	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ebtables 			
kmod-ebtables-ipv6	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6 +kmod-ebtables 			
kmod-fb	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@DISPLAY_SUPPORT			
kmod-fb-cfb-copyarea	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fb			
kmod-fb-cfb-fillrect	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fb			
kmod-fb-cfb-imgblt	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fb			
kmod-fb-sys-fops	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fb			
kmod-fb-sys-ram	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fb			
kmod-fixed-phy	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-libphy			
kmod-forcedeth	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT			
kmod-fs-autofs4	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-btrfs	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-lib-crc32c +kmod-lib-lzo +kmod-lib-zlib-inflate +kmod-lib-zlib-deflate +kmod-lib-raid6 +kmod-lib-xor +kmod-lib-zstd +kmod-crypto-blake2b +kmod-crypto-xxhash			
kmod-fs-cifs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nls-base  +kmod-fs-smbfs-common +kmod-crypto-md5 +kmod-crypto-sha256 +kmod-crypto-sha512 +kmod-crypto-cmac +kmod-crypto-hmac +kmod-crypto-aead +kmod-crypto-ccm +kmod-crypto-ecb +kmod-crypto-des +kmod-asn1-decoder +kmod-oid-registry +kmod-dnsresolver			
kmod-fs-configfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-exfat	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nls-base			
kmod-fs-exportfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-ext4	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-lib-crc16 +kmod-crypto-hash +kmod-crypto-crc32c			
kmod-fs-f2fs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-hash +kmod-crypto-crc32 +kmod-nls-base			
kmod-fs-msdos	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-vfat +kmod-nls-base 			
kmod-fs-netfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-nfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-nfs-common +kmod-dnsresolver			
kmod-fs-nfs-common	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-oid-registry			
kmod-fs-nfs-common-rpcsec	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-nfs-common +kmod-crypto-des +kmod-crypto-cbc +kmod-crypto-cts +kmod-crypto-md5 +kmod-crypto-sha1 +kmod-crypto-hmac +kmod-crypto-ecb +kmod-crypto-arc4			
kmod-fs-nfs-v3	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-nfs			
kmod-fs-nfs-v4	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-nfs			
kmod-fs-nfsd	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-nfs-common +kmod-fs-exportfs +kmod-fs-nfs-common-rpcsec			
kmod-fs-ntfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nls-base 			
kmod-fs-ntfs3	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nls-base 			
kmod-fs-reiserfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-smbfs-common	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-fs-netfs +kmod-nls-ucs2-utils			
kmod-fs-squashfs	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-fs-vfat	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nls-base +kmod-nls-cp437 +kmod-nls-iso8859-1 +kmod-nls-utf8			
kmod-fuse	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-hid	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-input-core +kmod-input-evdev			
kmod-hid-generic	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-hid			
kmod-hwmon-core	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-i2c-algo-bit	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-i2c-core			
kmod-i2c-core	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-i40e	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-ptp			
kmod-iavf	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT			
kmod-ice	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-ptp @!TARGET_apm821xx			
kmod-ifb	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-igb	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-i2c-core +kmod-i2c-algo-bit +kmod-ptp +kmod-hwmon-core			
kmod-igbvf	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT @TARGET_x86 +kmod-i2c-core +kmod-i2c-algo-bit +kmod-ptp			
kmod-igc	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-ptp			
kmod-inet-diag	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-input-core	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-input-evdev	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-input-core			
kmod-ip6-tunnel	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6 +kmod-iptunnel6			
kmod-ip6tables	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6 +kmod-nf-reject6 +kmod-nf-ipt6 +kmod-ipt-core			
kmod-ip6tables-extra	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6 +kmod-ip6tables			
kmod-ipt-compat-xtables	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>.3.26-r1	<LINUX_VERSION>.3.26-r1	package/feeds/packages/xtables-addons/Makefile	+kmod-ipt-core +IPV6:kmod-ip6tables			iptables
kmod-ipt-conntrack	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-nf-conntrack			
kmod-ipt-conntrack-extra	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nf-conncount +kmod-ipt-core +kmod-ipt-conntrack			
kmod-ipt-core	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nf-reject +kmod-nf-ipt +kmod-nf-log			
kmod-ipt-extra	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core 			
kmod-ipt-filter	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-lib-textsearch +kmod-ipt-conntrack			
kmod-ipt-fullconenat	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>.2023.01.01~74c5e6f3c7faaf33ece451697537c81781781c20-r1	<LINUX_VERSION>.2023.01.01~74c5e6f3c7faaf33ece451697537c81781781c20-r1	package/network/utils/fullconenat/Makefile	+kmod-nf-ipt +kmod-nf-nat			
kmod-ipt-geoip	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>.3.26-r1	<LINUX_VERSION>.3.26-r1	package/feeds/packages/xtables-addons/Makefile	+kmod-ipt-core 			iptables
kmod-ipt-ipmark	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>.3.26-r1	<LINUX_VERSION>.3.26-r1	package/feeds/packages/xtables-addons/Makefile	+kmod-ipt-core +kmod-ipt-compat-xtables			iptables
kmod-ipt-ipopt	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core 			
kmod-ipt-ipset	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-nfnetlink			
kmod-ipt-nat	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-nf-nat			
kmod-ipt-nat-extra	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-ipt-nat			
kmod-ipt-nat6	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6 +kmod-ipt-core +kmod-nf-nat6 +kmod-ipt-core +kmod-ipt-conntrack +kmod-ipt-core +kmod-ipt-nat +kmod-ipt-core +kmod-ip6tables			
kmod-ipt-nfqueue	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-nfnetlink-queue			
kmod-ipt-offload	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core +kmod-nf-flow			
kmod-ipt-proto	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>.3.26-r1	<LINUX_VERSION>.3.26-r1	package/feeds/packages/xtables-addons/Makefile	+kmod-ipt-core 			iptables
kmod-ipt-raw	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-ipt-core 			
kmod-ipt-tproxy	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-nf-tproxy +kmod-nf-conntrack +kmod-ipt-core 			
kmod-iptunnel	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-iptunnel4	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-iptunnel6	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@IPV6			
kmod-ipvlan	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-ixgbe	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-mdio +kmod-ptp +kmod-hwmon-core +kmod-libphy +kmod-mdio-devres			
kmod-ixgbevf	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@PCI_SUPPORT +kmod-ixgbe			
kmod-keys-encrypted	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@KERNEL_KEYS +kmod-crypto-cbc +kmod-crypto-hmac +kmod-crypto-rng +kmod-crypto-sha256 +kmod-keys-trusted			
kmod-keys-trusted	y	n	generic-kernel-review	通用内核功能；只用目标内核源码重编，依赖/用途逐项核对	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	@KERNEL_KEYS +kmod-crypto-hash +kmod-crypto-hmac +kmod-crypto-sha1 +kmod-tpm			
kmod-lib-cordic	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-lib-crc-ccitt	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-lib-crc16	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile				
kmod-lib-crc32c	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	<LINUX_VERSION>-r	<LINUX_VERSION>-r	package/kernel/linux/Makefile	+kmod-crypto-crc32c			
